MES,Registros,Compras_distintas
2019-01,6492,171
2019-02,16153,402
2019-03,9835,257
2019-04,16255,410
2019-05,28115,711
2019-06,19484,493
2019-07,10755,274
2019-08,15918,420
2019-09,16895,436
2019-10,9127,242
2019-11,6120,151
2019-12,20954,516
2020-01,20675,506
2020-02,17173,434
2020-03,17543,439
2020-04,15695,387
2020-05,14011,366
2020-06,10907,264
2020-07,8967,215
2020-08,15935,384
2020-09,18877,471
2020-10,25275,633
2020-11,15079,384
2020-12,12667,311
2021-01,23915,616
2021-02,17150,433
2021-03,15537,382
2021-04,14820,363
2021-05,13198,333
2021-06,17231,445
2021-07,23635,599
2021-08,14945,386
2021-09,23618,594
2021-10,28575,711
2021-11,8684,231
2021-12,15505,412
2022-01,23039,566
2022-02,16654,430
2022-03,14014,364
2022-04,12450,318
2022-05,17475,429
2022-06,12226,301
2022-07,17579,446
2022-08,11224,273
2022-09,1297,35
2022-10,2373,59
2022-11,6192,155
2022-12,13204,313
